datetime,co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed
2025-05-14 21:45:00+00:00,0.9400000000000001,2.4299999999999997,13.34,,11.61,154.92000000000002,73.5,63.980000000000004,17.615,27.35,,
2025-05-14 22:00:00+00:00,0.95,2.49,13.27,,11.935,154.92000000000002,73.5,64.16,18.32,27.1,,
2025-05-14 22:15:00+00:00,0.965,2.53,13.2,,13.15,154.92000000000002,73.5,60.574999999999996,34.349999999999994,27.655,,
2025-05-14 22:45:00+00:00,0.9949999999999999,2.46,13.21,,13.925,155.35,77.975,53.99,17.605,29.240000000000002,,
2025-05-14 23:00:00+00:00,0.9949999999999999,2.545,13.32,,14.905,155.35,77.975,54.39,21.630000000000003,29.075000000000003,,
2025-05-14 23:15:00+00:00,0.97,2.4499999999999997,13.585,,15.6,155.35,77.975,54.92,35.845,28.86,,
2025-05-14 23:30:00+00:00,0.975,2.5549999999999997,13.115,,15.23,156.73000000000002,73.615,55.56,28.729999999999997,28.619999999999997,,
2025-05-14 23:45:00+00:00,1.15,2.01,13.23,,18.49,167.58,63.9,55.39,0.66,28.62,,
2025-05-15 00:00:00+00:00,0.965,2.48,13.475,,12.92,157.14,73.215,56.905,17.935000000000002,28.42,,
2025-05-15 00:15:00+00:00,0.965,2.48,13.379999999999999,,12.18,157.14,73.215,57.57,18.105,28.58,,
2025-05-15 00:30:00+00:00,0.965,2.3600000000000003,13.385,,13.95,145.47500000000002,64.54,57.879999999999995,21.81,29.045,,
2025-05-15 00:45:00+00:00,0.97,2.49,13.285,,13.59,145.88,64.2,57.010000000000005,23.759999999999998,29.69,,
2025-05-15 01:00:00+00:00,0.9650000000000001,2.55,13.309999999999999,,13.62,145.88,64.2,55.685,24.585,30.45,,
2025-05-15 01:15:00+00:00,0.9750000000000001,2.42,13.31,,12.14,145.88,64.2,54.129999999999995,21.5,31.205,,
2025-05-15 01:30:00+00:00,0.98,2.34,13.205,,13.26,155.7,66.35,49.765,19.45,32.21,,
2025-05-15 01:45:00+00:00,0.9750000000000001,2.505,13.145,,14.379999999999999,156.625,66.855,47.105000000000004,21.41,33.445,,
2025-05-15 02:00:00+00:00,0.9750000000000001,2.4000000000000004,13.15,,15.42,156.625,66.855,46.135000000000005,18.495,34.26,,
2025-05-15 02:15:00+00:00,0.9750000000000001,2.385,13.32,,16.759999999999998,156.625,66.855,44.64,17.445,35.0,,
